time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
139,478,66590,113.29,816,140.84544053999997,56585,-64.68540496826172,-0.5377928614616394,0.019711600616574287,8.69641180038452,0.0003,,
139,481,66930,113.65,820,141.54295144,56925,-65.50459594726563,-0.7509521007537842,0.019910229742527007,9.044978523254395,0.0003,,
139,483,67225,113.18,824,143.10979503000002,57220,-64.83709106445312,-1.6900671005249024,0.019811948388814928,8.520759201049804,0.0003,,
138,485,67500,113.68,828,145.15884162999998,57495,-65.60157165527343,0.11922277808189392,0.019697292894124984,8.728611278533936,0.0003,,
138,488,67840,112.54,832,146.29746735999998,57835,-64.96621246337891,-0.7611100494861602,0.019486546888947485,8.712671279907227,0.0003,,
138,491,68270,110.5,836,145.83389907,58265,-65.74671173095703,-0.9849189758300781,0.01937788873910904,8.949409103393554,0.0003,,
138,495,68695,109.63,840,148.49765542,58690,-65.43326110839844,0.9013721704483032,0.019107652083039283,8.759521484375,0.0003,,
138,498,69020,109.15,844,150.64741203000003,59015,-65.04501190185547,1.3294103145599365,0.018994801491498948,8.22901954650879,0.0003,,
138,501,69405,106.65,848,149.79284279,59400,-64.77769927978515,-0.018777364492416383,0.019264605641365052,9.184681129455566,0.0003,,
138,505,69835,104.23,852,151.64731205,59830,-65.27439422607422,-0.023276714980602263,0.018951785191893576,8.411628341674804,0.0003,,
138,508,70235,102.65,856,151.95354919,60230,-64.61040725708008,1.4071016550064086,0.018522363528609274,8.15614881515503,0.0003,,
138,512,70815,102.3,860,153.86404274,60810,-65.30223999023437,0.7743958950042724,0.018742194399237633,8.317518329620361,0.0003,,
138,515,71170,102.76,864,156.15706714,61165,-64.27343978881837,0.8421489775180817,0.018304977938532828,8.2808406829834,0.0003,,
138,517,71435,101.99,868,159.25349434,61430,-65.02395172119141,0.7064619421958923,0.01833491139113903,8.599525547027588,0.0003,,
137,521,71970,99.82,872,160.30332923,61965,-64.40036163330078,0.02858314514160156,0.01785086840391159,8.026800537109375,0.0003,,
137,526,72560,100.34,876,161.98926241000004,62555,-65.46763305664062,0.19648748636245728,0.017976173385977744,8.275191307067871,0.0003,,
137,531,73125,101.99,880,165.70411898999998,63120,-64.8747787475586,1.3269781529903413,0.017769598960876466,7.756362724304199,0.0003,,
137,537,73780,103.55,884,171.17243136000002,63775,-65.60599212646484,-0.7374348700046539,0.017754844576120376,7.8470703125,0.0003,,
137,541,74235,104.61,888,172.83222065999996,64230,-65.0134994506836,-0.012066280841827393,0.017884409800171853,7.641238880157471,0.0003,,
137,545,74805,106.71,892,173.62586470000002,64800,-66.0256851196289,-1.608584952354431,0.017801573872566222,7.529841804504395,0.0003,,
136,550,75295,105.9,896,171.51784784000003,65290,-65.39739990234375,-0.10306023955345153,0.017615024745464326,7.526153469085694,0.0003,,
